images,seg,bboxes
20180807145028_camera_frontcenter_000001471.png,20180807145028_label_frontcenter_000001471.png,20180807145028_label3D_frontcenter_000001471.txt
20180807145028_camera_frontcenter_000001546.png,20180807145028_label_frontcenter_000001546.png,20180807145028_label3D_frontcenter_000001546.txt
20180807145028_camera_frontcenter_000001679.png,20180807145028_label_frontcenter_000001679.png,20180807145028_label3D_frontcenter_000001679.txt
20180807145028_camera_frontcenter_000001758.png,20180807145028_label_frontcenter_000001758.png,20180807145028_label3D_frontcenter_000001758.txt
20180807145028_camera_frontcenter_000001948.png,20180807145028_label_frontcenter_000001948.png,20180807145028_label3D_frontcenter_000001948.txt
20180807145028_camera_frontcenter_000002019.png,20180807145028_label_frontcenter_000002019.png,20180807145028_label3D_frontcenter_000002019.txt
20180807145028_camera_frontcenter_000002031.png,20180807145028_label_frontcenter_000002031.png,20180807145028_label3D_frontcenter_000002031.txt
20180807145028_camera_frontcenter_000002044.png,20180807145028_label_frontcenter_000002044.png,20180807145028_label3D_frontcenter_000002044.txt
20180807145028_camera_frontcenter_000002346.png,20180807145028_label_frontcenter_000002346.png,20180807145028_label3D_frontcenter_000002346.txt
20180807145028_camera_frontcenter_000002459.png,20180807145028_label_frontcenter_000002459.png,20180807145028_label3D_frontcenter_000002459.txt
20180807145028_camera_frontcenter_000002477.png,20180807145028_label_frontcenter_000002477.png,20180807145028_label3D_frontcenter_000002477.txt
20180807145028_camera_frontcenter_000002489.png,20180807145028_label_frontcenter_000002489.png,20180807145028_label3D_frontcenter_000002489.txt
20180807145028_camera_frontcenter_000002498.png,20180807145028_label_frontcenter_000002498.png,20180807145028_label3D_frontcenter_000002498.txt
20180807145028_camera_frontcenter_000002540.png,20180807145028_label_frontcenter_000002540.png,20180807145028_label3D_frontcenter_000002540.txt
20180807145028_camera_frontcenter_000002670.png,20180807145028_label_frontcenter_000002670.png,20180807145028_label3D_frontcenter_000002670.txt
20180807145028_camera_frontcenter_000002772.png,20180807145028_label_frontcenter_000002772.png,20180807145028_label3D_frontcenter_000002772.txt
20180807145028_camera_frontcenter_000002787.png,20180807145028_label_frontcenter_000002787.png,20180807145028_label3D_frontcenter_000002787.txt
20180807145028_camera_frontcenter_000002788.png,20180807145028_label_frontcenter_000002788.png,20180807145028_label3D_frontcenter_000002788.txt
20180807145028_camera_frontcenter_000002911.png,20180807145028_label_frontcenter_000002911.png,20180807145028_label3D_frontcenter_000002911.txt
20180807145028_camera_frontcenter_000002970.png,20180807145028_label_frontcenter_000002970.png,20180807145028_label3D_frontcenter_000002970.txt
20180807145028_camera_frontcenter_000003015.png,20180807145028_label_frontcenter_000003015.png,20180807145028_label3D_frontcenter_000003015.txt
20180807145028_camera_frontcenter_000003083.png,20180807145028_label_frontcenter_000003083.png,20180807145028_label3D_frontcenter_000003083.txt
20180807145028_camera_frontcenter_000003161.png,20180807145028_label_frontcenter_000003161.png,20180807145028_label3D_frontcenter_000003161.txt
20180807145028_camera_frontcenter_000003298.png,20180807145028_label_frontcenter_000003298.png,20180807145028_label3D_frontcenter_000003298.txt
20180807145028_camera_frontcenter_000003355.png,20180807145028_label_frontcenter_000003355.png,20180807145028_label3D_frontcenter_000003355.txt
20180807145028_camera_frontcenter_000003396.png,20180807145028_label_frontcenter_000003396.png,20180807145028_label3D_frontcenter_000003396.txt
20180807145028_camera_frontcenter_000003402.png,20180807145028_label_frontcenter_000003402.png,20180807145028_label3D_frontcenter_000003402.txt
20180807145028_camera_frontcenter_000003561.png,20180807145028_label_frontcenter_000003561.png,20180807145028_label3D_frontcenter_000003561.txt
20180807145028_camera_frontcenter_000003571.png,20180807145028_label_frontcenter_000003571.png,20180807145028_label3D_frontcenter_000003571.txt
20180807145028_camera_frontcenter_000003656.png,20180807145028_label_frontcenter_000003656.png,20180807145028_label3D_frontcenter_000003656.txt
20180807145028_camera_frontcenter_000003700.png,20180807145028_label_frontcenter_000003700.png,20180807145028_label3D_frontcenter_000003700.txt
20180807145028_camera_frontcenter_000003837.png,20180807145028_label_frontcenter_000003837.png,20180807145028_label3D_frontcenter_000003837.txt
20180807145028_camera_frontcenter_000003842.png,20180807145028_label_frontcenter_000003842.png,20180807145028_label3D_frontcenter_000003842.txt
20180807145028_camera_frontcenter_000003931.png,20180807145028_label_frontcenter_000003931.png,20180807145028_label3D_frontcenter_000003931.txt
20180807145028_camera_frontcenter_000004005.png,20180807145028_label_frontcenter_000004005.png,20180807145028_label3D_frontcenter_000004005.txt
20180807145028_camera_frontcenter_000004034.png,20180807145028_label_frontcenter_000004034.png,20180807145028_label3D_frontcenter_000004034.txt
20180807145028_camera_frontcenter_000004054.png,20180807145028_label_frontcenter_000004054.png,20180807145028_label3D_frontcenter_000004054.txt
20180807145028_camera_frontcenter_000004193.png,20180807145028_label_frontcenter_000004193.png,20180807145028_label3D_frontcenter_000004193.txt
20180807145028_camera_frontcenter_000004237.png,20180807145028_label_frontcenter_000004237.png,20180807145028_label3D_frontcenter_000004237.txt
20180807145028_camera_frontcenter_000004320.png,20180807145028_label_frontcenter_000004320.png,20180807145028_label3D_frontcenter_000004320.txt
20180807145028_camera_frontcenter_000004328.png,20180807145028_label_frontcenter_000004328.png,20180807145028_label3D_frontcenter_000004328.txt
20180807145028_camera_frontcenter_000004422.png,20180807145028_label_frontcenter_000004422.png,20180807145028_label3D_frontcenter_000004422.txt
20180807145028_camera_frontcenter_000004488.png,20180807145028_label_frontcenter_000004488.png,20180807145028_label3D_frontcenter_000004488.txt
20180807145028_camera_frontcenter_000004535.png,20180807145028_label_frontcenter_000004535.png,20180807145028_label3D_frontcenter_000004535.txt
20180807145028_camera_frontcenter_000004581.png,20180807145028_label_frontcenter_000004581.png,20180807145028_label3D_frontcenter_000004581.txt
20180807145028_camera_frontcenter_000004631.png,20180807145028_label_frontcenter_000004631.png,20180807145028_label3D_frontcenter_000004631.txt
20180807145028_camera_frontcenter_000004681.png,20180807145028_label_frontcenter_000004681.png,20180807145028_label3D_frontcenter_000004681.txt
20180807145028_camera_frontcenter_000004706.png,20180807145028_label_frontcenter_000004706.png,20180807145028_label3D_frontcenter_000004706.txt
20180807145028_camera_frontcenter_000004724.png,20180807145028_label_frontcenter_000004724.png,20180807145028_label3D_frontcenter_000004724.txt
20180807145028_camera_frontcenter_000004767.png,20180807145028_label_frontcenter_000004767.png,20180807145028_label3D_frontcenter_000004767.txt
20180807145028_camera_frontcenter_000004906.png,20180807145028_label_frontcenter_000004906.png,20180807145028_label3D_frontcenter_000004906.txt
20180807145028_camera_frontcenter_000005063.png,20180807145028_label_frontcenter_000005063.png,20180807145028_label3D_frontcenter_000005063.txt
20180807145028_camera_frontcenter_000005092.png,20180807145028_label_frontcenter_000005092.png,20180807145028_label3D_frontcenter_000005092.txt
20180807145028_camera_frontcenter_000005110.png,20180807145028_label_frontcenter_000005110.png,20180807145028_label3D_frontcenter_000005110.txt
20180807145028_camera_frontcenter_000005120.png,20180807145028_label_frontcenter_000005120.png,20180807145028_label3D_frontcenter_000005120.txt
20180807145028_camera_frontcenter_000005121.png,20180807145028_label_frontcenter_000005121.png,20180807145028_label3D_frontcenter_000005121.txt
20180807145028_camera_frontcenter_000005200.png,20180807145028_label_frontcenter_000005200.png,20180807145028_label3D_frontcenter_000005200.txt
20180807145028_camera_frontcenter_000005264.png,20180807145028_label_frontcenter_000005264.png,20180807145028_label3D_frontcenter_000005264.txt
20180807145028_camera_frontcenter_000005313.png,20180807145028_label_frontcenter_000005313.png,20180807145028_label3D_frontcenter_000005313.txt
20180807145028_camera_frontcenter_000005330.png,20180807145028_label_frontcenter_000005330.png,20180807145028_label3D_frontcenter_000005330.txt
20180807145028_camera_frontcenter_000005466.png,20180807145028_label_frontcenter_000005466.png,20180807145028_label3D_frontcenter_000005466.txt
20180807145028_camera_frontcenter_000005474.png,20180807145028_label_frontcenter_000005474.png,20180807145028_label3D_frontcenter_000005474.txt
20180807145028_camera_frontcenter_000005627.png,20180807145028_label_frontcenter_000005627.png,20180807145028_label3D_frontcenter_000005627.txt
20180807145028_camera_frontcenter_000005724.png,20180807145028_label_frontcenter_000005724.png,20180807145028_label3D_frontcenter_000005724.txt
20180807145028_camera_frontcenter_000005759.png,20180807145028_label_frontcenter_000005759.png,20180807145028_label3D_frontcenter_000005759.txt
20180807145028_camera_frontcenter_000005801.png,20180807145028_label_frontcenter_000005801.png,20180807145028_label3D_frontcenter_000005801.txt
20180807145028_camera_frontcenter_000005812.png,20180807145028_label_frontcenter_000005812.png,20180807145028_label3D_frontcenter_000005812.txt
20180807145028_camera_frontcenter_000005828.png,20180807145028_label_frontcenter_000005828.png,20180807145028_label3D_frontcenter_000005828.txt
20180807145028_camera_frontcenter_000005859.png,20180807145028_label_frontcenter_000005859.png,20180807145028_label3D_frontcenter_000005859.txt
20180807145028_camera_frontcenter_000005861.png,20180807145028_label_frontcenter_000005861.png,20180807145028_label3D_frontcenter_000005861.txt
20180807145028_camera_frontcenter_000006128.png,20180807145028_label_frontcenter_000006128.png,20180807145028_label3D_frontcenter_000006128.txt
20180807145028_camera_frontcenter_000006176.png,20180807145028_label_frontcenter_000006176.png,20180807145028_label3D_frontcenter_000006176.txt
20180807145028_camera_frontcenter_000006369.png,20180807145028_label_frontcenter_000006369.png,20180807145028_label3D_frontcenter_000006369.txt
20180807145028_camera_frontcenter_000006410.png,20180807145028_label_frontcenter_000006410.png,20180807145028_label3D_frontcenter_000006410.txt
20180807145028_camera_frontcenter_000006579.png,20180807145028_label_frontcenter_000006579.png,20180807145028_label3D_frontcenter_000006579.txt
20180807145028_camera_frontcenter_000006617.png,20180807145028_label_frontcenter_000006617.png,20180807145028_label3D_frontcenter_000006617.txt
20180807145028_camera_frontcenter_000006624.png,20180807145028_label_frontcenter_000006624.png,20180807145028_label3D_frontcenter_000006624.txt
20180807145028_camera_frontcenter_000006632.png,20180807145028_label_frontcenter_000006632.png,20180807145028_label3D_frontcenter_000006632.txt
20180807145028_camera_frontcenter_000006668.png,20180807145028_label_frontcenter_000006668.png,20180807145028_label3D_frontcenter_000006668.txt
20180807145028_camera_frontcenter_000006851.png,20180807145028_label_frontcenter_000006851.png,20180807145028_label3D_frontcenter_000006851.txt
20180807145028_camera_frontcenter_000006882.png,20180807145028_label_frontcenter_000006882.png,20180807145028_label3D_frontcenter_000006882.txt
20180807145028_camera_frontcenter_000006897.png,20180807145028_label_frontcenter_000006897.png,20180807145028_label3D_frontcenter_000006897.txt
20180807145028_camera_frontcenter_000006925.png,20180807145028_label_frontcenter_000006925.png,20180807145028_label3D_frontcenter_000006925.txt
20180807145028_camera_frontcenter_000007124.png,20180807145028_label_frontcenter_000007124.png,20180807145028_label3D_frontcenter_000007124.txt
20180807145028_camera_frontcenter_000007221.png,20180807145028_label_frontcenter_000007221.png,20180807145028_label3D_frontcenter_000007221.txt
20180807145028_camera_frontcenter_000007238.png,20180807145028_label_frontcenter_000007238.png,20180807145028_label3D_frontcenter_000007238.txt
20180807145028_camera_frontcenter_000007266.png,20180807145028_label_frontcenter_000007266.png,20180807145028_label3D_frontcenter_000007266.txt
20180807145028_camera_frontcenter_000007382.png,20180807145028_label_frontcenter_000007382.png,20180807145028_label3D_frontcenter_000007382.txt
20180807145028_camera_frontcenter_000007391.png,20180807145028_label_frontcenter_000007391.png,20180807145028_label3D_frontcenter_000007391.txt
20180807145028_camera_frontcenter_000007520.png,20180807145028_label_frontcenter_000007520.png,20180807145028_label3D_frontcenter_000007520.txt
20180807145028_camera_frontcenter_000007531.png,20180807145028_label_frontcenter_000007531.png,20180807145028_label3D_frontcenter_000007531.txt
20180807145028_camera_frontcenter_000007536.png,20180807145028_label_frontcenter_000007536.png,20180807145028_label3D_frontcenter_000007536.txt
20180807145028_camera_frontcenter_000007560.png,20180807145028_label_frontcenter_000007560.png,20180807145028_label3D_frontcenter_000007560.txt
20180807145028_camera_frontcenter_000007693.png,20180807145028_label_frontcenter_000007693.png,20180807145028_label3D_frontcenter_000007693.txt
20180807145028_camera_frontcenter_000007762.png,20180807145028_label_frontcenter_000007762.png,20180807145028_label3D_frontcenter_000007762.txt
20180807145028_camera_frontcenter_000007773.png,20180807145028_label_frontcenter_000007773.png,20180807145028_label3D_frontcenter_000007773.txt
20180807145028_camera_frontcenter_000007954.png,20180807145028_label_frontcenter_000007954.png,20180807145028_label3D_frontcenter_000007954.txt
20180807145028_camera_frontcenter_000008065.png,20180807145028_label_frontcenter_000008065.png,20180807145028_label3D_frontcenter_000008065.txt
20180807145028_camera_frontcenter_000008091.png,20180807145028_label_frontcenter_000008091.png,20180807145028_label3D_frontcenter_000008091.txt
20180807145028_camera_frontcenter_000008152.png,20180807145028_label_frontcenter_000008152.png,20180807145028_label3D_frontcenter_000008152.txt
20180807145028_camera_frontcenter_000008154.png,20180807145028_label_frontcenter_000008154.png,20180807145028_label3D_frontcenter_000008154.txt
20180807145028_camera_frontcenter_000008191.png,20180807145028_label_frontcenter_000008191.png,20180807145028_label3D_frontcenter_000008191.txt
20180807145028_camera_frontcenter_000008265.png,20180807145028_label_frontcenter_000008265.png,20180807145028_label3D_frontcenter_000008265.txt
20180807145028_camera_frontcenter_000008267.png,20180807145028_label_frontcenter_000008267.png,20180807145028_label3D_frontcenter_000008267.txt
20180807145028_camera_frontcenter_000008347.png,20180807145028_label_frontcenter_000008347.png,20180807145028_label3D_frontcenter_000008347.txt
20180807145028_camera_frontcenter_000008350.png,20180807145028_label_frontcenter_000008350.png,20180807145028_label3D_frontcenter_000008350.txt
20180807145028_camera_frontcenter_000008526.png,20180807145028_label_frontcenter_000008526.png,20180807145028_label3D_frontcenter_000008526.txt
20180807145028_camera_frontcenter_000008551.png,20180807145028_label_frontcenter_000008551.png,20180807145028_label3D_frontcenter_000008551.txt
20180807145028_camera_frontcenter_000008607.png,20180807145028_label_frontcenter_000008607.png,20180807145028_label3D_frontcenter_000008607.txt
20180807145028_camera_frontcenter_000008719.png,20180807145028_label_frontcenter_000008719.png,20180807145028_label3D_frontcenter_000008719.txt
20180807145028_camera_frontcenter_000008788.png,20180807145028_label_frontcenter_000008788.png,20180807145028_label3D_frontcenter_000008788.txt
20180807145028_camera_frontcenter_000008949.png,20180807145028_label_frontcenter_000008949.png,20180807145028_label3D_frontcenter_000008949.txt
20180807145028_camera_frontcenter_000009076.png,20180807145028_label_frontcenter_000009076.png,20180807145028_label3D_frontcenter_000009076.txt
20180807145028_camera_frontcenter_000009107.png,20180807145028_label_frontcenter_000009107.png,20180807145028_label3D_frontcenter_000009107.txt
20180807145028_camera_frontcenter_000009183.png,20180807145028_label_frontcenter_000009183.png,20180807145028_label3D_frontcenter_000009183.txt
20180807145028_camera_frontcenter_000009195.png,20180807145028_label_frontcenter_000009195.png,20180807145028_label3D_frontcenter_000009195.txt
20180807145028_camera_frontcenter_000009252.png,20180807145028_label_frontcenter_000009252.png,20180807145028_label3D_frontcenter_000009252.txt
20180807145028_camera_frontcenter_000009256.png,20180807145028_label_frontcenter_000009256.png,20180807145028_label3D_frontcenter_000009256.txt
20180807145028_camera_frontcenter_000009360.png,20180807145028_label_frontcenter_000009360.png,20180807145028_label3D_frontcenter_000009360.txt
20180807145028_camera_frontcenter_000009442.png,20180807145028_label_frontcenter_000009442.png,20180807145028_label3D_frontcenter_000009442.txt
20180807145028_camera_frontcenter_000009474.png,20180807145028_label_frontcenter_000009474.png,20180807145028_label3D_frontcenter_000009474.txt
20180807145028_camera_frontcenter_000009489.png,20180807145028_label_frontcenter_000009489.png,20180807145028_label3D_frontcenter_000009489.txt
20180807145028_camera_frontcenter_000009603.png,20180807145028_label_frontcenter_000009603.png,20180807145028_label3D_frontcenter_000009603.txt
20180807145028_camera_frontcenter_000009667.png,20180807145028_label_frontcenter_000009667.png,20180807145028_label3D_frontcenter_000009667.txt
20180807145028_camera_frontcenter_000009687.png,20180807145028_label_frontcenter_000009687.png,20180807145028_label3D_frontcenter_000009687.txt
20180807145028_camera_frontcenter_000009786.png,20180807145028_label_frontcenter_000009786.png,20180807145028_label3D_frontcenter_000009786.txt
20180807145028_camera_frontcenter_000009789.png,20180807145028_label_frontcenter_000009789.png,20180807145028_label3D_frontcenter_000009789.txt
20180807145028_camera_frontcenter_000009806.png,20180807145028_label_frontcenter_000009806.png,20180807145028_label3D_frontcenter_000009806.txt
20180807145028_camera_frontcenter_000009813.png,20180807145028_label_frontcenter_000009813.png,20180807145028_label3D_frontcenter_000009813.txt
20180807145028_camera_frontcenter_000009820.png,20180807145028_label_frontcenter_000009820.png,20180807145028_label3D_frontcenter_000009820.txt
20180807145028_camera_frontcenter_000009861.png,20180807145028_label_frontcenter_000009861.png,20180807145028_label3D_frontcenter_000009861.txt
20180807145028_camera_frontcenter_000009899.png,20180807145028_label_frontcenter_000009899.png,20180807145028_label3D_frontcenter_000009899.txt
20180807145028_camera_frontcenter_000009912.png,20180807145028_label_frontcenter_000009912.png,20180807145028_label3D_frontcenter_000009912.txt
20180807145028_camera_frontcenter_000009944.png,20180807145028_label_frontcenter_000009944.png,20180807145028_label3D_frontcenter_000009944.txt
20180807145028_camera_frontcenter_000010193.png,20180807145028_label_frontcenter_000010193.png,20180807145028_label3D_frontcenter_000010193.txt
20180807145028_camera_frontcenter_000010301.png,20180807145028_label_frontcenter_000010301.png,20180807145028_label3D_frontcenter_000010301.txt
20180807145028_camera_frontcenter_000010302.png,20180807145028_label_frontcenter_000010302.png,20180807145028_label3D_frontcenter_000010302.txt
20180807145028_camera_frontcenter_000010313.png,20180807145028_label_frontcenter_000010313.png,20180807145028_label3D_frontcenter_000010313.txt
20180807145028_camera_frontcenter_000010471.png,20180807145028_label_frontcenter_000010471.png,20180807145028_label3D_frontcenter_000010471.txt
20180807145028_camera_frontcenter_000010529.png,20180807145028_label_frontcenter_000010529.png,20180807145028_label3D_frontcenter_000010529.txt
20180807145028_camera_frontcenter_000010600.png,20180807145028_label_frontcenter_000010600.png,20180807145028_label3D_frontcenter_000010600.txt
20180807145028_camera_frontcenter_000010641.png,20180807145028_label_frontcenter_000010641.png,20180807145028_label3D_frontcenter_000010641.txt
20180807145028_camera_frontcenter_000010763.png,20180807145028_label_frontcenter_000010763.png,20180807145028_label3D_frontcenter_000010763.txt
20180807145028_camera_frontcenter_000010804.png,20180807145028_label_frontcenter_000010804.png,20180807145028_label3D_frontcenter_000010804.txt
20180807145028_camera_frontcenter_000010833.png,20180807145028_label_frontcenter_000010833.png,20180807145028_label3D_frontcenter_000010833.txt
20180807145028_camera_frontcenter_000011025.png,20180807145028_label_frontcenter_000011025.png,20180807145028_label3D_frontcenter_000011025.txt
20180807145028_camera_frontcenter_000011126.png,20180807145028_label_frontcenter_000011126.png,20180807145028_label3D_frontcenter_000011126.txt
20180807145028_camera_frontcenter_000011287.png,20180807145028_label_frontcenter_000011287.png,20180807145028_label3D_frontcenter_000011287.txt
20180807145028_camera_frontcenter_000011303.png,20180807145028_label_frontcenter_000011303.png,20180807145028_label3D_frontcenter_000011303.txt
20180807145028_camera_frontcenter_000011560.png,20180807145028_label_frontcenter_000011560.png,20180807145028_label3D_frontcenter_000011560.txt
20180807145028_camera_frontcenter_000011590.png,20180807145028_label_frontcenter_000011590.png,20180807145028_label3D_frontcenter_000011590.txt
20180807145028_camera_frontcenter_000011615.png,20180807145028_label_frontcenter_000011615.png,20180807145028_label3D_frontcenter_000011615.txt
20180807145028_camera_frontcenter_000011673.png,20180807145028_label_frontcenter_000011673.png,20180807145028_label3D_frontcenter_000011673.txt
20180807145028_camera_frontcenter_000011887.png,20180807145028_label_frontcenter_000011887.png,20180807145028_label3D_frontcenter_000011887.txt
20180807145028_camera_frontcenter_000011977.png,20180807145028_label_frontcenter_000011977.png,20180807145028_label3D_frontcenter_000011977.txt
20180807145028_camera_frontcenter_000011982.png,20180807145028_label_frontcenter_000011982.png,20180807145028_label3D_frontcenter_000011982.txt
20180807145028_camera_frontcenter_000011994.png,20180807145028_label_frontcenter_000011994.png,20180807145028_label3D_frontcenter_000011994.txt
20180807145028_camera_frontcenter_000012047.png,20180807145028_label_frontcenter_000012047.png,20180807145028_label3D_frontcenter_000012047.txt
20180807145028_camera_frontcenter_000012062.png,20180807145028_label_frontcenter_000012062.png,20180807145028_label3D_frontcenter_000012062.txt
20180807145028_camera_frontcenter_000012121.png,20180807145028_label_frontcenter_000012121.png,20180807145028_label3D_frontcenter_000012121.txt
20180807145028_camera_frontcenter_000012153.png,20180807145028_label_frontcenter_000012153.png,20180807145028_label3D_frontcenter_000012153.txt
20180807145028_camera_frontcenter_000012220.png,20180807145028_label_frontcenter_000012220.png,20180807145028_label3D_frontcenter_000012220.txt
20180807145028_camera_frontcenter_000012238.png,20180807145028_label_frontcenter_000012238.png,20180807145028_label3D_frontcenter_000012238.txt
20180807145028_camera_frontcenter_000012330.png,20180807145028_label_frontcenter_000012330.png,20180807145028_label3D_frontcenter_000012330.txt
20180807145028_camera_frontcenter_000012522.png,20180807145028_label_frontcenter_000012522.png,20180807145028_label3D_frontcenter_000012522.txt
20180807145028_camera_frontcenter_000012608.png,20180807145028_label_frontcenter_000012608.png,20180807145028_label3D_frontcenter_000012608.txt
20180807145028_camera_frontcenter_000012684.png,20180807145028_label_frontcenter_000012684.png,20180807145028_label3D_frontcenter_000012684.txt
20180807145028_camera_frontcenter_000012710.png,20180807145028_label_frontcenter_000012710.png,20180807145028_label3D_frontcenter_000012710.txt
20180807145028_camera_frontcenter_000012757.png,20180807145028_label_frontcenter_000012757.png,20180807145028_label3D_frontcenter_000012757.txt
20180807145028_camera_frontcenter_000012843.png,20180807145028_label_frontcenter_000012843.png,20180807145028_label3D_frontcenter_000012843.txt
20180807145028_camera_frontcenter_000012935.png,20180807145028_label_frontcenter_000012935.png,20180807145028_label3D_frontcenter_000012935.txt
20180807145028_camera_frontcenter_000012976.png,20180807145028_label_frontcenter_000012976.png,20180807145028_label3D_frontcenter_000012976.txt
20180807145028_camera_frontcenter_000013068.png,20180807145028_label_frontcenter_000013068.png,20180807145028_label3D_frontcenter_000013068.txt
20180807145028_camera_frontcenter_000013230.png,20180807145028_label_frontcenter_000013230.png,20180807145028_label3D_frontcenter_000013230.txt
20180807145028_camera_frontcenter_000013263.png,20180807145028_label_frontcenter_000013263.png,20180807145028_label3D_frontcenter_000013263.txt
20180807145028_camera_frontcenter_000013342.png,20180807145028_label_frontcenter_000013342.png,20180807145028_label3D_frontcenter_000013342.txt
20180807145028_camera_frontcenter_000013346.png,20180807145028_label_frontcenter_000013346.png,20180807145028_label3D_frontcenter_000013346.txt
20180807145028_camera_frontcenter_000013470.png,20180807145028_label_frontcenter_000013470.png,20180807145028_label3D_frontcenter_000013470.txt
20180807145028_camera_frontcenter_000013502.png,20180807145028_label_frontcenter_000013502.png,20180807145028_label3D_frontcenter_000013502.txt
20180807145028_camera_frontcenter_000013519.png,20180807145028_label_frontcenter_000013519.png,20180807145028_label3D_frontcenter_000013519.txt
20180807145028_camera_frontcenter_000013520.png,20180807145028_label_frontcenter_000013520.png,20180807145028_label3D_frontcenter_000013520.txt
20180807145028_camera_frontcenter_000013548.png,20180807145028_label_frontcenter_000013548.png,20180807145028_label3D_frontcenter_000013548.txt
20180807145028_camera_frontcenter_000013732.png,20180807145028_label_frontcenter_000013732.png,20180807145028_label3D_frontcenter_000013732.txt
20180807145028_camera_frontcenter_000013781.png,20180807145028_label_frontcenter_000013781.png,20180807145028_label3D_frontcenter_000013781.txt
20180807145028_camera_frontcenter_000013798.png,20180807145028_label_frontcenter_000013798.png,20180807145028_label3D_frontcenter_000013798.txt
20180807145028_camera_frontcenter_000013854.png,20180807145028_label_frontcenter_000013854.png,20180807145028_label3D_frontcenter_000013854.txt
20180807145028_camera_frontcenter_000014075.png,20180807145028_label_frontcenter_000014075.png,20180807145028_label3D_frontcenter_000014075.txt
20180807145028_camera_frontcenter_000014079.png,20180807145028_label_frontcenter_000014079.png,20180807145028_label3D_frontcenter_000014079.txt
20180807145028_camera_frontcenter_000014359.png,20180807145028_label_frontcenter_000014359.png,20180807145028_label3D_frontcenter_000014359.txt
20180807145028_camera_frontcenter_000014444.png,20180807145028_label_frontcenter_000014444.png,20180807145028_label3D_frontcenter_000014444.txt
20180807145028_camera_frontcenter_000014481.png,20180807145028_label_frontcenter_000014481.png,20180807145028_label3D_frontcenter_000014481.txt
20180807145028_camera_frontcenter_000014548.png,20180807145028_label_frontcenter_000014548.png,20180807145028_label3D_frontcenter_000014548.txt
20180807145028_camera_frontcenter_000014772.png,20180807145028_label_frontcenter_000014772.png,20180807145028_label3D_frontcenter_000014772.txt
20180807145028_camera_frontcenter_000014943.png,20180807145028_label_frontcenter_000014943.png,20180807145028_label3D_frontcenter_000014943.txt
20180807145028_camera_frontcenter_000014962.png,20180807145028_label_frontcenter_000014962.png,20180807145028_label3D_frontcenter_000014962.txt
20180807145028_camera_frontcenter_000015069.png,20180807145028_label_frontcenter_000015069.png,20180807145028_label3D_frontcenter_000015069.txt
20180807145028_camera_frontcenter_000015108.png,20180807145028_label_frontcenter_000015108.png,20180807145028_label3D_frontcenter_000015108.txt
20180807145028_camera_frontcenter_000015177.png,20180807145028_label_frontcenter_000015177.png,20180807145028_label3D_frontcenter_000015177.txt
20180807145028_camera_frontcenter_000015225.png,20180807145028_label_frontcenter_000015225.png,20180807145028_label3D_frontcenter_000015225.txt
20180807145028_camera_frontcenter_000015282.png,20180807145028_label_frontcenter_000015282.png,20180807145028_label3D_frontcenter_000015282.txt
20180807145028_camera_frontcenter_000015304.png,20180807145028_label_frontcenter_000015304.png,20180807145028_label3D_frontcenter_000015304.txt
20180807145028_camera_frontcenter_000015309.png,20180807145028_label_frontcenter_000015309.png,20180807145028_label3D_frontcenter_000015309.txt
20180807145028_camera_frontcenter_000015348.png,20180807145028_label_frontcenter_000015348.png,20180807145028_label3D_frontcenter_000015348.txt
